Date,RANDWICK SO2 24h maximum [pphm],LIVERPOOL SO2 24h maximum [pphm],NEWCASTLE SO2 24h maximum [pphm],WOLLONGONG SO2 24h maximum [pphm],PARRAMATTA NORTH SO2 24h maximum [pphm],PENRITH SO2 24h maximum [pphm],RANDWICK NO 24h maximum [pphm],LIVERPOOL NO 24h maximum [pphm],NEWCASTLE NO 24h maximum [pphm],WOLLONGONG NO 24h maximum [pphm],PARRAMATTA NORTH NO 24h maximum [pphm],PENRITH NO 24h maximum [pphm],RANDWICK NO2 24h maximum [pphm],LIVERPOOL NO2 24h maximum [pphm],NEWCASTLE NO2 24h maximum [pphm],WOLLONGONG NO2 24h maximum [pphm],PARRAMATTA NORTH NO2 24h maximum [pphm],PENRITH NO2 24h maximum [pphm],RANDWICK OZONE 24h maximum [pphm],LIVERPOOL OZONE 24h maximum [pphm],NEWCASTLE OZONE 24h maximum [pphm],WOLLONGONG OZONE 24h maximum [pphm],PARRAMATTA NORTH OZONE 24h maximum [pphm],PENRITH OZONE 24h maximum [pphm],RANDWICK PM10 24h maximum  ,LIVERPOOL PM10 24h maximum  ,NEWCASTLE PM10 24h maximum  ,WOLLONGONG PM10 24h maximum  ,PARRAMATTA NORTH PM10 24h maximum  ,PENRITH PM10 24h maximum  ,RANDWICK PM2.5 24h maximum  ,LIVERPOOL PM2.5 24h maximum  ,NEWCASTLE PM2.5 24h maximum  ,WOLLONGONG PM2.5 24h maximum,PARRAMATTA NORTH PM2.5 24h maximum ,PENRITH PM2.5 24h maximum  ,LIVERPOOL CO 24h maximum [ppm],NEWCASTLE CO 24h maximum [ppm],WOLLONGONG CO 24h maximum [ppm],PARRAMATTA NORTH CO 24h maximum [ppm],PENRITH CO 24h maximum [ppm]
8/5/2020,0.1,0.2,0.4,0.1,0.1,,0.5,7.3,5.1,4.1,,,1.1,2.9,2.6,2.5,2.4,,2.7,2.8,2.1,2.9,1.9,,22.7,44,48.2,35.6,24.2,,19.8,24.7,,16.4,12.2,,0.5,0.6,0.2,,
9/5/2020,0.1,0.1,0.5,0.1,0.1,,0.2,8,4.2,0.1,0.2,,0.7,2,1.9,0.8,0.6,,2.5,2.5,2.2,2.8,2.6,,21.8,30.2,29.1,23.7,22.7,,22.6,18.7,,12.9,12.3,,0.6,0.6,0.2,0.1,
10/5/2020,0.1,0.1,1.1,0,0.1,,0,0.3,0.2,0,0.2,,1.2,1.9,1.4,0.6,1,,2.9,2.7,2.7,2.7,2.8,,17.4,17,30.6,14.2,17.2,,14.7,16.5,,12.7,15,,0.1,0.3,0.1,0.2,
11/5/2020,0.1,0.2,0.8,0.1,0.4,,2.6,11.4,3.8,3.9,22.2,,2.2,2.9,2.5,2.3,2.9,,2.8,2.5,2.7,2.6,2.6,,19.8,83.4,30.8,19.6,27.1,,12.4,35.4,,17,26,,0.5,0.3,0.3,0.5,
12/5/2020,0.8,0.2,0.2,0.2,0.2,,3.3,7.8,5.2,9.4,,,2.1,2.9,2.4,2.7,1.5,,2.8,2.5,2.8,2.5,2.6,,24.8,31.8,33.7,23.1,28.7,,15.4,30.2,,17.4,23.1,,0.6,0.4,0.3,0.7,
13/05/2020,0.3,0.2,0.6,0.2,0.2,,5.6,11.7,9.4,7.3,9.3,,2.3,2.7,2.5,2.6,2.6,,2.3,1.6,2.3,2.4,1,,42.3,46.3,39.6,26.2,82.8,,29.5,31.7,,14.5,31.5,,0.6,0.5,0.2,0.8,
14/05/2020,0.1,0.2,0.2,0.4,0.3,,1.4,14.5,1.2,0.2,14.9,,1.8,3.3,1.6,1.6,2.3,,2.7,2.3,2.7,2.3,2.5,,21.7,63.5,24.8,23.8,32.7,,26.1,27.3,,10.4,32.7,,0.6,0.4,0.2,0.9,
15/05/2020,0.2,0.1,0.2,0.8,0.2,,4.5,4.9,0.4,0.5,10,,2.3,2.6,0.9,1.8,2,,2.7,2.1,2.3,2.3,2.1,,25.6,33.4,18.8,30.9,30.6,,14,20.1,,17.2,13.2,,0.1,0.2,0.2,0.3,
16/05/2020,0.2,0.2,0.2,0.3,0.2,,2.9,8.3,1.4,1.3,3.9,,1.4,2.6,1.7,1.7,1.5,,2.7,2.6,2.9,2.6,2.4,,20.1,45.5,70.3,25.9,41.1,,16.6,48.2,,22.8,44.6,,0.8,0.5,0.4,0.7,
17/05/2020,0.2,0.1,0.3,0.8,0.2,,3.9,7.2,2.1,1.2,3.8,,1.5,2,1.6,2,1.7,,2.7,2.5,3,2.2,2.8,,27.1,33.4,29.7,21.5,39.6,,32.6,40.3,,23.8,47.9,,0.9,0.6,0.4,1.1,
